Time,160102,150803,160105,151204,100609,140937,150608,130102,131109,150921,120838,141123,150932,151005,160112,141115,150401,140202,141110,140215,130517,140914,151104,130902,160119,151210,141217,121125,151002,150304,160118,120980,141109,141228,160104,160133,151007,121076,120924,121117,141034,151001,160204,150908,151228,110216,141111,121025,150105,150806,151229,90803,151020,150312,160101,150609,120935,80916,151016,120504,150901,151124,160128,160404,151009,150610,141230,140312,140824,140911,141040,151213,160307,160132,150108,160117,141233,150207,151209,151024,151103,120324,120503,150120,140403,151105,120925,140828,141219,151014,111015,151102,160107,151230,160108,150918,151135,141213,141222,160110,160109,150210,160135,130507,151206,160113,130913,151010,140831,131116,120266,150809,151037,151101,151018,150118,81113,140904,141237,150910,101206,130375,150507,130415,150505,150313,151013,151220,160129,150912,110927,151108,150934,160210,151224,160115,141031,150911,150902,150104,160203,110701,140134,141004,121230,140311,151030,151201,141024,150924,150504,160121,121043,150214,141025,151225,160215,110963,151131,151227,131122,151119,141220,141102,141009,151113,151019,151107,150110,150506,140908,141114,160401,160123,131019,150607,160111,151034,151215,130227,150111,140216,151128,141116,151137,151111,131079,151132,131005,151116,160137,160211,121120,151222,141205,151029,150303,151120,110910,140405,150922,160302,151219,160127,130926,160212,151129,110215,140906,141038,150933,160138,111222,150119,141118,100313,111227,151117,140948,140181,140922,160131,130822,100925,120830,120161,150928,150115,100307,151136,120923,130216,130914,100364,141007,150109,151216,140117,151109,140903,121022,130906,141209,150201,150601,101217,150402,110402,140111,160303,121038,131028,120304,160103,140406,121006,150603,150307,130908,160214,130909,141117,80101,151035,120412
2018-11-05 15:27:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1085,0",,,,,,,,,,,,,,,,,,"775,1107,0",,,,"2932,1201,0",,,,,,,,,,,,,,,"3102,1199,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3763,1266,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2199,1301,0",,,,,,,,,,"3596,1185,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1819,1214,0",,,,,,,,"1014,1070,0",,,"3354,1300,0",,,,,"1816,1201,0",,,"602,1153,0",,,,"3758,1272,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05 15:27:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1084,0",,,,,,,,,,,,,,,,,,"777,1107,0",,,,"2931,1201,0",,,,,,,,,,,,,,,"3103,1205,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3761,1265,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2204,1299,0",,,,,,,,,,"3597,1178,0",,,,,,"2201,1305,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1815,1211,0",,,,,,,,"1014,1071,0",,,"3351,1301,0",,,,,"1813,1206,0",,,"602,1151,0",,,,"3758,1272,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05 15:27:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1015,1086,0",,,,,,,,,,,,,,,,,,"778,1108,0",,,,"2928,1203,0",,,,,,,,,,,,,,,"3103,1194,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3764,1264,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2209,1298,0",,,,,,,,,,"3595,1179,0",,,,,,"2210,1307,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1812,1210,0",,,,,,,,"1014,1073,0",,,"3350,1299,0",,,,,"1807,1203,0",,,"599,1151,0",,,,"3758,1272,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05 15:27:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1087,0",,,,,,,,,,,,,,,,,,"778,1108,0",,,,"2930,1202,0",,,,,,,,,,,,,,,"3097,1199,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3762,1264,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2218,1297,0",,,,,,,,,,"2542,1295,0",,,,,,"2218,1308,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1807,1208,0",,,,,,,,"1014,1073,0",,,"3350,1299,0",,,,,"1804,1194,0",,,"600,1151,0",,,,"3759,1271,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05 15:28:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1087,0",,,,,,,,,,,,,,,,,,"778,1108,0",,,,"2930,1202,0",,,,,,,,,,,,,,,"3102,1200,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3764,1264,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2223,1305,0",,,,,,,,,,"3595,1180,0",,,,,,"2216,1302,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1799,1208,0",,,,,,,,"1014,1072,0",,,"3350,1300,0",,,,,"1796,1200,0",,,"602,1151,0",,,,"3759,1271,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05 15:28:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1085,0",,,,,,,,,,,,,,,,,,"778,1108,0",,,,"2929,1199,0",,,,,,,,,,,,,,,"3097,1201,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3761,1265,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2226,1302,0",,,,,,,,,,"3597,1179,0",,,,,,"2225,1303,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1790,1207,0",,,,,,,,"1014,1070,0",,,"3353,1299,0",,,,,"1789,1197,0",,,"601,1150,0",,,,"3759,1271,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05 15:28:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1085,0",,,,,,,,,,,,,,,,,,"775,1104,0",,,,"2929,1200,0",,,,,,,,,,,,,,,"3104,1199,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3761,1265,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2232,1301,0",,,,,,,,,,"3595,1178,0",,,,,,"2228,1302,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1792,1205,0",,,,,,,,"1014,1070,0",,,"3347,1298,0",,,,,"1786,1195,0",,,"601,1150,0",,,,"3756,1270,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05 15:28:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1086,0",,,,,,,,,,,,,,,,,,"778,1108,0",,,,"2929,1199,0",,,,,,,,,,,,,,,"3104,1198,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3763,1266,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2242,1303,0",,,,,,,,,,"3596,1177,0",,,,,,"2238,1303,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1790,1200,0",,,,,,,,"1014,1070,0",,,"3350,1299,0",,,,,"1785,1191,0",,,"597,1149,0",,,,"3761,1273,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05 15:28:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1019,1085,0",,,,,,,,,,,,,,,,,,"781,1107,0",,,,"2929,1200,0",,,,,,,,,,,,,,,"3096,1195,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3762,1265,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2242,1301,0",,,,,,,,,,"3596,1177,0",,,,,,"2238,1300,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1787,1192,0",,,,,,,,"1014,1070,0",,,"3350,1299,0",,,,,"1782,1183,0",,,"599,1151,0",,,,"3759,1272,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05 15:28:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1086,0",,,,,,,,,,,,,,,,,,"780,1107,0",,,,"2929,1201,0",,,,,,,,,,,,,,,"3101,1199,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3766,1269,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2247,1299,0",,,,,,,,,,"3596,1177,0",,,,,,"2243,1299,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1786,1184,0",,,,,,,,"1014,1070,0",,,"3354,1298,0",,,,,"1782,1175,0",,,"601,1150,0",,,,"3762,1272,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
