Time,160102,150803,160105,151204,100609,140937,150608,130102,131109,150921,120838,141123,150932,151005,160112,141115,150401,140202,141110,140215,130517,140914,151104,130902,160119,151210,141217,121125,151002,150304,160118,120980,141109,141228,160104,160133,151007,121076,120924,121117,141034,151001,160204,150908,151228,110216,141111,121025,150105,150806,151229,90803,151020,150312,160101,150609,120935,80916,151016,120504,150901,151124,160128,160404,151009,150610,141230,140312,140824,140911,141040,151213,160307,160132,150108,160117,141233,150207,151209,151024,151103,120324,120503,150120,140403,151105,120925,140828,141219,151014,111015,151102,160107,151230,160108,150918,151135,141213,141222,160110,160109,150210,160135,130507,151206,160113,130913,151010,140831,131116,120266,150809,151037,151101,151018,150118,81113,140904,141237,150910,101206,130375,150507,130415,150505,150313,151013,151220,160129,150912,110927,151108,150934,160210,151224,160115,141031,150911,150902,150104,160203,110701,140134,141004,121230,140311,151030,151201,141024,150924,150504,160121,121043,150214,141025,151225,160215,110963,151131,151227,131122,151119,141220,141102,141009,151113,151019,151107,150110,150506,140908,141114,160401,160123,131019,150607,160111,151034,151215,130227,150111,140216,151128,141116,151137,151111,131079,151132,131005,151116,160137,160211,121120,151222,141205,151029,150303,151120,110910,140405,150922,160302,151219,160127,130926,160212,151129,110215,140906,141038,150933,160138,111222,150119,141118,100313,111227,151117,140948,140181,140922,160131,130822,100925,120830,120161,150928,150115,100307,151136,120923,130216,130914,100364,141007,150109,151216,140117,151109,140903,121022,130906,141209,150201,150601,101217,150402,110402,140111,160303,121038,131028,120304,160103,140406,121006,150603,150307,130908,160214,130909,141117,80101,151035,120412
2018-10-30 10:39:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1085,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3100,1205,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2221,1299,0",,,,,,,,,,"3595,1184,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1804,1197,0",,,,,,,,"1013,1070,0",,,"3353,1299,0",,,,,,,,"601,1150,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:39:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1085,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3101,1203,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2244,1298,0",,,,,,,,,,"3590,1177,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1785,1193,0",,,,,,,,"1017,1071,0",,,"3353,1298,0",,,,,,,,"601,1150,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:39:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1022,1090,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3103,1193,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3599,1173,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1015,1069,0",,,,,,,,"1784,1180,0",,,"597,1146,0",,,,,,,,,,,,,,,,,,,,,,,,,,"3764,1261,0",,,,,,,,,,"2932,1205,0",,,,,,,,,,,,,
2018-10-30 10:40:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1015,1087,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3106,1193,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3598,1173,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1015,1069,0",,,,,,,,"1773,1167,0",,,"597,1146,0",,,,,,,,,,,,,,,,,,,,,,,,,,"3761,1260,0",,,,,,,,,,"2932,1204,0",,,,,,,,,,,,,
2018-10-30 10:40:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3108,1203,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3595,1175,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1668,1186,0",,,,,,,,"1016,1070,0",,,"3355,1299,0",,,,,"1769,1162,0",,,"600,1147,0",,,,"3757,1268,0",,,,,,,,,,,,,,,,,,,,,,,"777,1103,0",,,,,,,,,"2935,1198,0",,,,,,,,,,,,,
2018-10-30 10:40:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3126,1217,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3592,1174,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1666,1186,0",,,,,,,,"1015,1070,0",,,"3350,1296,0",,,,,"1760,1162,0",,,"595,1145,0",,,,"3755,1267,0",,,,,,,,,,,,,,,,,,,,,,,"774,1103,0",,,,,,,,,"2930,1196,0",,,,,,,,,,,,,
2018-10-30 10:40:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3145,1225,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3592,1174,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1666,1185,0",,,,,,,,"1016,1069,0",,,"3359,1298,0",,,,,"1764,1162,0",,,"598,1146,0",,,,"3740,1262,0",,,,,,,,,,,,,,,,,,,,,,,"771,1107,0",,,,,,,,,"2930,1189,0",,,,,,,,,,,,,
2018-10-30 10:40:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1082,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3133,1208,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3722,1248,0",,,,,,,"2240,1298,0",,,,,,,,,,"3595,1169,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1017,1068,0",,,,,,,,"1766,1157,0",,,"599,1145,0",,,,,,,,,,,,,,,,,,"765,1121,0",,,,,,,,,"768,1112,0",,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:40:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1082,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3125,1205,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3684,1238,0",,,,,,,"2240,1298,0",,,,,,,,,,"3592,1168,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1018,1070,0",,,,,,,,"1772,1160,0",,,"599,1145,0",,,,,,,,,,,,,,,,,,"760,1140,0",,,,,,,,,"762,1131,0",,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:40:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3123,1213,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3587,1163,0",,,,,,"2243,1301,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1072,0",,,,,,,,"1770,1163,0",,,"600,1146,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2936,1207,0","3351,1291,0",,,,,,,,,,,,
