Time,160102,150803,160105,151204,100609,140937,150608,130102,131109,150921,120838,141123,150932,151005,160112,141115,150401,140202,141110,140215,130517,140914,151104,130902,160119,151210,141217,121125,151002,150304,160118,120980,141109,141228,160104,160133,151007,121076,120924,121117,141034,151001,160204,150908,151228,110216,141111,121025,150105,150806,151229,90803,151020,150312,160101,150609,120935,80916,151016,120504,150901,151124,160128,160404,151009,150610,141230,140312,140824,140911,141040,151213,160307,160132,150108,160117,141233,150207,151209,151024,151103,120324,120503,150120,140403,151105,120925,140828,141219,151014,111015,151102,160107,151230,160108,150918,151135,141213,141222,160110,160109,150210,160135,130507,151206,160113,130913,151010,140831,131116,120266,150809,151037,151101,151018,150118,81113,140904,141237,150910,101206,130375,150507,130415,150505,150313,151013,151220,160129,150912,110927,151108,150934,160210,151224,160115,141031,150911,150902,150104,160203,110701,140134,141004,121230,140311,151030,151201,141024,150924,150504,160121,121043,150214,141025,151225,160215,110963,151131,151227,131122,151119,141220,141102,141009,151113,151019,151107,150110,150506,140908,141114,160401,160123,131019,150607,160111,151034,151215,130227,150111,140216,151128,141116,151137,151111,131079,151132,131005,151116,160137,160211,121120,151222,141205,151029,150303,151120,110910,140405,150922,160302,151219,160127,130926,160212,151129,110215,140906,141038,150933,160138,111222,150119,141118,100313,111227,151117,140948,140181,140922,160131,130822,100925,120830,120161,150928,150115,100307,151136,120923,130216,130914,100364,141007,150109,151216,140117,151109,140903,121022,130906,141209,150201,150601,101217,150402,110402,140111,160303,121038,131028,120304,160103,140406,121006,150603,150307,130908,160214,130909,141117,80101,151035,120412
2018-10-30 10:23:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1084,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3099,1203,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2253,1298,0",,,,,,,,,,"3586,1177,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1783,1185,0",,,,,,,,"1010,1069,0",,,"3352,1295,0",,,,,,,,"601,1149,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:23:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1084,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3098,1201,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2260,1293,0",,,,,,,,,,"3585,1177,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1776,1161,0",,,,,,,,"1010,1068,0",,,"3350,1294,0",,,,,,,,"601,1149,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:23:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1084,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3104,1205,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2261,1293,0",,,,,,,,,,"3588,1175,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1770,1159,0",,,,,,,,"1014,1069,0",,,"3350,1298,0",,,,,,,,"603,1149,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:23:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1084,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3117,1217,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2261,1293,0",,,,,,,,,,"3587,1174,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1766,1158,0",,,,,,,,"1014,1070,0",,,"3354,1297,0",,,,,,,,"603,1149,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:23:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1085,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3137,1229,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2260,1293,0",,,,,,,,,,"3587,1174,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1760,1160,0",,,,,,,,"1014,1070,0",,,"3356,1296,0",,,,,,,,"601,1149,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1084,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3151,1234,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2260,1292,0",,,,,,,,,,"3584,1173,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1766,1159,0",,,,,,,,"1018,1068,0",,,"3354,1296,0",,,,,,,,"601,1149,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1017,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3151,1229,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2260,1292,0",,,,,,,,,,"3586,1172,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1763,1160,0",,,,,,,,"1020,1069,0",,,"3354,1292,0",,,,,,,,"601,1149,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1020,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3137,1229,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2261,1292,0",,,,,,,,,,"3582,1173,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1769,1161,0",,,,,,,,"1018,1068,0",,,"3356,1297,0",,,,,,,,"601,1149,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1019,1086,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3126,1225,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2263,1292,0",,,,,,,,,,"3584,1172,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1766,1162,0",,,,,,,,"1014,1071,0",,,"3359,1296,0",,,,,,,,"599,1149,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1085,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3116,1220,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2264,1292,0",,,,,,,,,,"3578,1174,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1773,1159,0",,,,,,,,"1014,1070,0",,,"3356,1295,0",,,,,,,,"601,1145,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1084,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3115,1218,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2264,1292,0",,,,,,,,,,"3583,1172,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1772,1164,0",,,,,,,,"1015,1069,0",,,"3358,1295,0",,,,,,,,"602,1148,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1020,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3113,1216,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2264,1292,0",,,,,,,,,,"3581,1171,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1777,1167,0",,,,,,,,"1014,1067,0",,,"3359,1295,0",,,,,,,,"603,1147,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1021,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3113,1215,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2265,1292,0",,,,,,,,,,"3582,1168,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1772,1164,0",,,,,,,,"1016,1068,0",,,"3362,1295,0",,,,,,,,"601,1147,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1081,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3115,1214,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2266,1293,0",,,,,,,,,,"3583,1172,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1779,1167,0",,,,,,,,"1016,1070,0",,,"3362,1295,0",,,,,,,,"598,1147,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3108,1212,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2266,1293,0",,,,,,,,,,"3587,1170,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1808,1165,0",,,,,,,,"1013,1068,0",,,"3359,1295,0",,,,,,,,"596,1148,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3108,1212,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2265,1293,0",,,,,,,,,,"3583,1170,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1823,1165,0",,,,,,,,"1013,1068,0",,,"3364,1294,0",,,,,,,,"594,1147,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1020,1080,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3113,1212,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2267,1293,0",,,,,,,,,,"3588,1171,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1826,1165,0",,,,,,,,"1011,1066,0",,,"3364,1293,0",,,,,,,,"594,1146,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:24:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1021,1082,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3118,1211,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2261,1300,0",,,,,,,,,,"3583,1171,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1820,1166,0",,,,,,,,"1012,1066,0",,,"3358,1293,0",,,,,,,,"591,1146,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1080,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3123,1213,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2215,1313,0",,,,,,,,,,"3588,1170,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1812,1166,0",,,,,,,,"1015,1067,0",,,"3363,1297,0",,,,,,,,"591,1146,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1019,1080,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3123,1210,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2153,1314,0",,,,,,,,,,"3586,1170,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1800,1171,0",,,,,,,,"1015,1068,0",,,"3362,1293,0",,,,,,,,"589,1146,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1012,1082,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3118,1209,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2090,1310,0",,,,,,,,,,"3586,1170,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1787,1172,0",,,,,,,,"1017,1067,0",,,"3361,1293,0",,,,,,,,"589,1146,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3121,1208,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2057,1301,0",,,,,,,,,,"3585,1169,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1773,1155,0",,,,,,,,"1015,1068,0",,,"3364,1293,0",,,,,,,,"589,1145,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3124,1209,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2046,1299,0",,,,,,,,,,"3584,1165,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1745,1127,0",,,,,,,,"1015,1068,0",,,"3367,1292,0",,,,,,,,"589,1145,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1016,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3121,1207,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2039,1301,0",,,,,,,,,,"3587,1168,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1715,1077,0",,,,,,,,"1013,1068,0",,,"3364,1292,0",,,,,,,,"589,1145,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3120,1206,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2023,1306,0",,,,,,,,,,"3586,1169,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1682,1056,0",,,,,,,,"1009,1067,0",,,"3364,1292,0",,,,,,,,"589,1145,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1083,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3122,1205,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2000,1294,0",,,,,,,,,,"3590,1170,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1678,1016,0",,,,,,,,"1007,1064,0",,,"3361,1293,0",,,,,,,,"588,1144,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1011,1081,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3120,1205,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1980,1286,0",,,,,,,,,,"3585,1168,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1687,1033,0",,,,,,,,"1013,1068,0",,,"3364,1292,0",,,,,,,,"589,1145,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1009,1079,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3126,1204,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1991,1287,0",,,,,,,,,,"3583,1168,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1699,1040,0",,,,,,,,"1013,1068,0",,,"3365,1292,0",,,,,,,,"589,1144,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30 10:25:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1014,1082,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3121,1203,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1987,1292,0",,,,,,,,,,"3583,1167,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1702,1049,0",,,,,,,,"1013,1068,0",,,"3364,1292,0",,,,,,,,"586,1147,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
